# file created by code in factory_simulation_2.jl
# file created on 2023-11-11 at 23:55:26
# parameter: seed = 1
# parameter: T = 10000.0
# parameter: mean_interarrival = 60.0
# parameter: mean_machine_times = [25.0, 59.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = minutes
# parameter: std_machine_1 = 7.185832891717325
time,event_id,event_type,timing,length_event_list,length_queue1,length_queue2,in_service1,in_service2
    1485.454,   133,Finish(1),before,   2,   1,   2,   1,   1
    1485.454,   133,Finish(1), after,   3,   0,   3,   1,   1
    1514.627,   136,Finish(1),before,   2,   0,   3,   1,   1
    1514.627,   136,Finish(1), after,   2,   0,   4,   0,   1
    1520.084,   134,  Arrival,before,   1,   0,   4,   0,   1
    1520.084,   134,  Arrival, after,   3,   0,   4,   1,   1
    1536.993,   125,Finish(2),before,   2,   0,   4,   1,   1
    1536.993,   125,Finish(2), after,   3,   0,   3,   1,   1
    1547.807,   139,Finish(1),before,   2,   0,   3,   1,   1
    1547.807,   139,Finish(1), after,   2,   0,   4,   0,   1
    1567.537,   138,  Arrival,before,   1,   0,   4,   0,   1
    1567.537,   138,  Arrival, after,   3,   0,   4,   1,   1
    1593.553,   141,Finish(2),before,   2,   0,   4,   1,   1
    1593.553,   141,Finish(2), after,   3,   0,   3,   1,   1
    1595.434,   144,Finish(1),before,   2,   0,   3,   1,   1
    1595.434,   144,Finish(1), after,   2,   0,   4,   0,   1
    1602.507,   146,Finish(2),before,   1,   0,   4,   0,   1
    1602.507,   146,Finish(2), after,   2,   0,   3,   0,   1
    1679.961,   143,  Arrival,before,   1,   0,   3,   0,   1
    1679.961,   143,  Arrival, after,   3,   0,   3,   1,   1
    1698.447,   150,  Arrival,before,   2,   0,   3,   1,   1
    1698.447,   150,  Arrival, after,   3,   1,   3,   1,   1
    1698.727,   151,Finish(1),before,   2,   1,   3,   1,   1
    1698.727,   151,Finish(1), after,   3,   0,   4,   1,   1
    1722.342,   149,Finish(2),before,   2,   0,   4,   1,   1
    1722.342,   149,Finish(2), after,   3,   0,   3,   1,   1
    1727.536,   154,Finish(1),before,   2,   0,   3,   1,   1
    1727.536,   154,Finish(1), after,   2,   0,   4,   0,   1
    1854.243,   152,  Arrival,before,   1,   0,   4,   0,   1
    1854.243,   152,  Arrival, after,   3,   0,   4,   1,   1
    1871.758,   159,Finish(1),before,   2,   0,   4,   1,   1
    1871.758,   159,Finish(1), after,   3,   0,   4,   1,   1
    1876.460,   156,Finish(2),before,   2,   0,   4,   1,   1
    1876.460,   156,Finish(2), after,   3,   0,   3,   1,   1
    1876.460,   159,Finish(1),before,   2,   0,   3,   1,   1
    1876.460,   159,Finish(1), after,   2,   0,   4,   0,   1
    1940.032,   158,  Arrival,before,   1,   0,   4,   0,   1
    1940.032,   158,  Arrival, after,   3,   0,   4,   1,   1
    1956.839,   165,Finish(1),before,   2,   0,   4,   1,   1
    1956.839,   165,Finish(1), after,   3,   0,   4,   1,   1
    1960.120,   162,Finish(2),before,   2,   0,   4,   1,   1
    1960.120,   162,Finish(2), after,   3,   0,   3,   1,   1
    1960.120,   165,Finish(1),before,   2,   0,   3,   1,   1
    1960.120,   165,Finish(1), after,   2,   0,   4,   0,   1
    2002.667,   164,  Arrival,before,   1,   0,   4,   0,   1
    2002.667,   164,  Arrival, after,   3,   0,   4,   1,   1
    2005.199,   170,  Arrival,before,   2,   0,   4,   1,   1
    2005.199,   170,  Arrival, after,   3,   1,   4,   1,   1
    2035.969,   172,  Arrival,before,   2,   1,   4,   1,   1
    2035.969,   172,  Arrival, after,   3,   2,   4,   1,   1
    2039.321,   171,Finish(1),before,   2,   2,   4,   1,   1
    2039.321,   171,Finish(1), after,   3,   2,   4,   1,   1
    2062.483,   173,  Arrival,before,   2,   2,   4,   1,   1
    2062.483,   173,  Arrival, after,   3,   3,   4,   1,   1
    2062.483,   171,Finish(1),before,   2,   3,   4,   1,   1
    2062.483,   171,Finish(1), after,   3,   3,   4,   1,   1
    2094.972,   168,Finish(2),before,   2,   3,   4,   1,   1
    2094.972,   168,Finish(2), after,   3,   3,   3,   1,   1
    2094.972,   171,Finish(1),before,   2,   3,   3,   1,   1
    2094.972,   171,Finish(1), after,   3,   2,   4,   1,   1
