# file created by code in factory_simulation_2.jl
# file created on 2023-11-11 at 23:55:26
# parameter: seed = 1
# parameter: T = 10000.0
# parameter: mean_interarrival = 60.0
# parameter: mean_machine_times = [25.0, 59.0]
# parameter: max_queue = [9223372036854775807, 4]
# parameter: time_units = minutes
# parameter: std_machine_1 = 7.185832891717325
id,arrival_time,start_service_times,start_service_times,completion_time
106,7449.461808557587,7493.655324181857,7663.047096390369,7667.815288286394
107,7456.122892152455,7508.972973757869,7667.815288286394,7816.543545071789
108,7466.029055460257,7526.638792238419,7816.543545071789,7840.137806607651
109,7533.829648419163,7551.669778603953,7840.137806607651,7846.009459018183
110,7579.893557534373,7585.8162556116595,7846.009459018183,7851.306264697849
111,7646.205851286447,7663.047096390369,7851.306264697849,7852.664107680944
112,7657.566727637594,7695.9026523388775,7852.664107680944,8002.871118690359
113,7685.880833360465,7816.543545071789,8002.871118690359,8048.950075950768
114,7718.720956490936,7843.499966151399,8048.950075950768,8285.726129853767
115,7790.906708826608,7868.686231377753,8285.726129853767,8336.28929337183
116,7853.504509204604,7899.4446884452545,8336.28929337183,8377.443222207272
117,8020.632314530518,8020.632314530518,8377.443222207272,8402.868781466907
118,8096.065776327776,8096.065776327776,8402.868781466907,8478.457797260698
119,8145.903162416993,8145.903162416993,8478.457797260698,8514.908018351203
120,8151.317602878308,8285.726129853767,8514.908018351203,8525.530783518627
121,8173.1769364015,8336.28929337183,8525.530783518627,8525.971094736218
122,8179.807291427485,8377.443222207272,8525.971094736218,8564.80336297125
123,8194.177976925193,8402.868781466907,8564.80336297125,8642.136682108478
124,8250.773391123696,8478.457797260698,8642.136682108478,8658.878213250138
125,8267.6389322343,8514.908018351203,8658.878213250138,8713.849538700828
126,8281.901502655888,8539.688400457473,8713.849538700828,8791.09198715388
127,8382.317358550548,8576.763766495027,8791.09198715388,8791.87190260309
128,8486.170076717963,8613.317451593151,8791.87190260309,8806.854308158241
129,8517.42761514468,8642.136682108478,8806.854308158241,8868.089628013344
130,8523.524730847397,8675.55403299928,8868.089628013344,9022.582628999944
131,8529.730743940227,8713.849538700828,9022.582628999944,9175.762135567273
132,8733.00178411581,8791.09198715388,9175.762135567273,9224.689383362558
133,8786.803043234178,8812.49911439867,9224.689383362558,9362.421723551864
134,8791.40695773969,8829.253467064404,9362.421723551864,9558.910087975451
135,8827.284978825506,8868.089628013344,9558.910087975451,9714.26962311949
136,8911.067279084427,9022.582628999944,9714.26962311949,9770.439983528442
137,8966.399974699723,9175.762135567273,9770.439983528442,9851.932390929374
138,9083.924303615942,9224.689383362558,9851.932390929374,9948.467285942688
139,9147.915165072105,9362.421723551864,9948.467285942688,9985.879058667317
